area,is_weekday,time_period_min,pole_id,ave_time_period_min,trans_amt,time_period_min_per_pole,ave_time_period_min_per_pole
Bankers Hill,False,4681870.0,514,40296.73140094786,9531345,9108.696498054474,78.3983101185756
Bankers Hill,True,25346291.0,523,36933.03392102601,51523486,48463.27151051625,70.61765568073808
Barrio Logan,False,84261.0,27,2235.204775643793,171000,3120.777777777778,82.78536206088121
Barrio Logan,True,566345.0,27,2273.1389997435654,1144620,20975.74074074074,84.19033332383576
College,False,105945.0,5,357.6889742265381,203625,21189.0,71.53779484530762
College,True,476930.0,5,380.5255769803331,895742,95386.0,76.10511539606662
Columbia,False,3350185.0,144,13251.562248857977,6946287,23265.17361111111,92.0247378392915
Columbia,True,16798472.0,146,12488.832705771285,33502467,115058.02739726027,85.53995003952934
Core,False,2182678.0,172,13019.315128542841,4502245,12689.988372093023,75.69369260780722
Core,True,13391224.0,174,12930.44017837771,26327567,76961.05747126437,74.31287458837764
Core - Columbia,False,585208.0,42,3456.339204214385,1256679,13933.52380952381,82.29379057653298
Core - Columbia,True,4282087.0,42,3492.4919978686426,8771586,101954.45238095238,83.15457137782482
Cortez,False,297945.0,52,3504.3187106302025,637707,5729.711538461538,67.3907444351962
Cortez,True,2319041.0,52,3503.9921324161405,4653177,44596.942307692305,67.38446408492578
Cortez Hill,False,2587265.0,275,31045.099534645,4099531,9408.236363636364,112.89127103507273
Cortez Hill,True,16525692.0,276,34818.667147998036,25468200,59875.69565217391,126.1545911159349
East Village,False,14793740.0,881,101053.74850373718,26728061,16791.98637911464,114.70346027665968
East Village,True,76925053.0,887,103278.0085330707,135472406,86724.97519729425,116.43518436648331
Five Points,False,1187764.0,70,4825.108733438111,2269420,16968.057142857142,68.93012476340158
Five Points,True,4310303.0,70,4282.809699806866,8312603,61575.75714285715,61.18299571152666
Gaslamp,False,4430774.0,206,19579.72231842299,8130493,21508.611650485436,95.04719572049996
Gaslamp,True,22617461.0,221,19741.64452409019,43517315,102341.45248868778,89.32870825380176
Golden Hill,False,79682.0,13,439.40071085027034,155347,6129.384615384615,33.800054680790026
Golden Hill,True,375646.0,12,375.51891951192067,724481,31303.833333333332,31.293243292660055
Hillcrest,False,10889362.0,524,43858.235611157645,20456708,20781.225190839694,83.69892292205657
Hillcrest,True,49310878.0,530,41035.117464547824,92643907,93039.39245283019,77.4247499331091
Little Italy,False,8768553.0,264,25605.545763326318,19062715,33214.21590909091,96.99070364896332
Little Italy,True,38961368.0,273,24941.917853206098,83669804,142715.6336996337,91.3623364586304
Marina,False,11333241.0,220,29918.224939342897,19383867,51514.73181818182,135.9919315424677
Marina,True,51980594.0,224,30930.948500501938,95271363,232056.2232142857,138.08459152009794
Midtown,False,15023.0,13,1577.8848337735894,26025,1155.6153846153845,121.37575644412226
Midtown,True,49549.0,14,1855.9268648696266,86080,3539.214285714286,132.56620463354474
Mission Hills,False,1675804.0,113,8368.177615325752,3324664,14830.12389380531,74.0546691621748
Mission Hills,True,7253171.0,114,7657.245446612369,14462419,63624.30701754386,67.16881970712605
North Park,False,1153871.0,101,6396.3052499873575,2226775,11424.465346534653,63.329754950369875
North Park,True,4419034.0,102,5781.274443080451,8708546,43323.86274509804,56.67916120667109
Point Loma,False,86985.0,6,535.7364967132738,175220,14497.5,89.28941611887898
Point Loma,True,253313.0,6,490.2339436842147,527865,42218.833333333336,81.70565728070245
Talmadge,False,147003.0,33,1407.7569749024392,296781,4454.636363636364,42.65930226977088
Talmadge,True,740667.0,33,1217.511676414304,1485578,22444.454545454544,36.89429322467588
University Heights,False,1032632.0,107,7528.821405718499,2096050,9650.766355140187,70.36281687587382
University Heights,True,4753868.0,107,6962.620558146729,9585924,44428.67289719626,65.0712201695956
