area,is_weekday,time_period_min,pole_id,ave_time_period_min,trans_amt,time_period_min_per_pole,ave_time_period_min_per_pole
Bankers Hill,False,3902822.0,634,46531.230581081516,7872305,6155.8706624605675,73.39310817205286
Bankers Hill,True,22804789.0,654,45587.427460399165,45142024,34869.70795107033,69.70554657553389
Barrio Logan,False,128152.0,29,2582.791745217452,258269,4419.0344827586205,89.06178431784318
Barrio Logan,True,817892.0,29,2646.7455006078167,1615782,28203.172413793105,91.26708622785574
College,False,98665.0,5,350.9058824754539,188113,19733.0,70.18117649509078
College,True,508411.0,5,366.9107101869092,956972,101682.2,73.38214203738184
Columbia,False,3589237.0,147,13419.446080348544,7444225,24416.57823129252,91.28874884590846
Columbia,True,17436844.0,151,12560.727842977441,35039819,115475.78807947019,83.18362809918835
Core,False,2100537.0,184,13742.247901749248,4252804,11415.96195652174,74.68612990081112
Core,True,13372509.0,193,14108.52663977971,25844922,69287.61139896372,73.10117429937674
Core - Columbia,False,345703.0,38,2820.8022667508035,733306,9097.447368421053,74.23163859870536
Core - Columbia,True,2700115.0,38,2879.154518014563,5330484,71055.65789473684,75.76722415827798
Cortez,False,284366.0,52,3568.921658840947,592431,5468.576923076923,68.63310882386438
Cortez,True,2576893.0,52,3780.1655363390955,4976839,49555.63461538462,72.69549108344414
Cortez Hill,False,2480524.0,288,29974.23864828104,3785594,8612.930555555555,104.07721752875361
Cortez Hill,True,15074338.0,287,33678.04693855747,22253368,52523.82578397213,117.34511128417236
East Village,False,14516267.0,921,102841.74049058602,25776547,15761.41910966341,111.6631275684973
East Village,True,71281752.0,930,102891.2556693694,123565195,76647.04516129033,110.63575878426818
Five Points,False,1052896.0,73,4694.920397755961,2020212,14423.232876712329,64.31397805145151
Five Points,True,3699890.0,73,4151.903307216013,7149770,50683.42465753425,56.87538777008237
Gaslamp,False,3976937.0,232,20433.953169894052,7319713,17141.969827586207,88.0773843529916
Gaslamp,True,21242999.0,257,21068.020765974066,40773825,82657.58365758754,81.97673449795357
Golden Hill,False,71876.0,12,339.6017231495128,141408,5989.666666666667,28.300143595792733
Golden Hill,True,333899.0,12,338.7641776818103,652704,27824.916666666668,28.230348140150856
Hillcrest,False,10121393.0,639,51770.64401603095,18602500,15839.425665101722,81.01822224730978
Hillcrest,True,45156469.0,648,49251.549240535875,82946093,69685.90895061729,76.00547722304918
Little Italy,False,9073162.0,290,27914.595804447992,19036599,31286.76551724138,96.25722691188963
Little Italy,True,38092183.0,295,26276.65360643154,80043651,129126.04406779661,89.07340205570014
Marina,False,10457250.0,218,27820.247202699524,17677192,47969.036697247706,127.61581285641984
Marina,True,47620944.0,220,28449.192700068248,83098895,216458.83636363636,129.31451227303748
Midtown,False,11661.0,11,1339.6982342219185,21522,1060.090909090909,121.79074856562896
Midtown,True,34625.0,13,1644.8161927631988,63686,2663.4615384615386,126.52432252024606
Mission Hills,False,1495898.0,114,8427.96732312921,2973235,13121.912280701754,73.92953792218606
Mission Hills,True,6238744.0,116,7551.1668360392605,12431431,53782.275862068964,65.09626582792465
North Park,False,1162745.0,112,6758.904013635904,2242696,10381.651785714286,60.34735726460629
North Park,True,4455308.0,115,6190.814420917531,8786401,38741.80869565217,53.83316887754375
Point Loma,False,83124.0,6,557.7073326644484,166684,13854.0,92.9512221107414
Point Loma,True,229943.0,6,488.92092240057457,483433,38323.833333333336,81.48682040009577
Talmadge,False,147197.0,35,1486.82341472135,298898,4205.628571428571,42.480668992038574
Talmadge,True,766965.0,35,1292.9235244242623,1530878,21913.285714285714,36.94067212640749
University Heights,False,1118918.0,105,7348.365577983459,2258420,10656.361904761905,69.98443407603294
University Heights,True,4189108.0,105,6407.937327742259,8489267,39896.26666666667,61.02797454992628
